match_id,date,round,home_team,away_team,home_score,away_score,pen_home,pen_away,source_note
97,2026-07-09,CUARTOS,France,Morocco,,,,,Generado desde octavos: 90=REAL_90_120 / 89=REAL_90_120
98,2026-07-10,CUARTOS,Spain,Belgium,,,,,Generado desde octavos: 93=PREDICHO_MODELO / 94=PREDICHO_MODELO
99,2026-07-11,CUARTOS,Norway,England,,,,,Generado desde octavos: 91=REAL_90_120 / 92=REAL_90_120
100,2026-07-11,CUARTOS,Argentina,Colombia,,,,,Generado desde octavos: 95=PREDICHO_MODELO / 96=PREDICHO_MODELO
